labnumber,Sbox,date,sd,Country,Site,SiteID,Source
DIC-2521,32,3600,305,USA,13ML-VP,4773,CARD
GX-14673,87,6180,305,USA,AKKOD363,10048,CARD
UGa-240,23,7265,305,USA,15TR33,1993,CARD
TBN-311,11,5032,304,USA,34CD50,1300,Erick
C-698,2,1212,300,USA,41UV2,8,TARL
Tx-14,2,4505,300,USA,41CM3,18,TARL
Tx-16,2,5405,300,USA,41CM3,18,TARL
A-89A,8,3180,300,USA,EE:2:35,88,CARD
A-89C,8,2520,300,USA,EE:2:35,88,CARD
SM-775,11,6030,300,USA,34Cm131,1228,Erick
GSC-803,45,5490,300,check GIS,DkPj-1,9053,CARD
AA-739,7,2490,300,USA,CA-IMP-108,729,CARD
M-646,16,3080,300,USA,CA-SJO-68,2689,CARD
UCR-137,16,3630,300,USA,CA-CAL-237,2898,CARD
WSU-1072,29,6270,300,USA,10LH23,7470,CARD
S-2066,95,1400,300,check GIS,IgPc-2,10112,CARD
GaK-2300,157,2260,300,USA,AKBAR013,10753,CARD
K-505,149,3780,300,check GIS,NiHf-1,10645,CARD
UQ-732,81,3500,300,check GIS,EiBi-5,9447,CARD
LJ-5,7,3100,300,check GIS,SUNK-1626,72,CARD
A-86A,8,3080,300,USA,EE:2:30,87,CARD
A-86C,8,3180,300,USA,EE:2:30,87,CARD
A-88a,8,2980,300,USA,EE:2:35,88,CARD
AA-840,7,4240,300,USA,CA-SDI-10940,662,CARD
A-771,8,1810,300,USA,U:13:1,854,CARD
Beta-90100,7,7380,300,USA,CA-RIV-5786,918,CARD
L-187B,16,3400,300,USA,CA-SMA-77,2408,CARD
M-121,16,2700,300,USA,CA-ALA-307,2475,CARD
M-122,16,3210,300,USA,CA-ALA-307,2475,CARD
M-123,16,2880,300,USA,CA-ALA-307,2475,CARD
M-126,16,3140,300,USA,CA-ALA-307,2475,CARD
M-127,16,3700,300,USA,CA-ALA-307,2475,CARD
UCLA-295,17,4360,300,USA,26EK11,2566,CARD
M-376,17,4050,300,USA,26CK,3385,CARD
C-451,30,5020,300,USA,5LR13,4672,CARD
M-1087,29,6840,300,USA,10JE6,6940,CARD
AA-379,44,3270,300,USA,45FR46H,7982,CARD
Tx-3150,19,4430,300,USA,5GN205,3088,CARD
M-2045,23,1720,300,USA,12HN1,4214,CARD
RL-1261,35,6490,300,USA,36SO153,4408,CARD
SI-312,33,1790,300,USA,13AN10,4759,CARD
GX-9277,37,4135,300,USA,19BR214,5527,CARD
C-809,37,4500,300,USA,19PL161,5533,CARD
C-604,31,7073,300,USA,39FA65,6742,CARD
DIC-2202,27,2150,300,USA,35DS86,6945,CARD
GaK-2240-43,43,7890,300,USA,35GM9,7711,CARD
S-1040,112,2560,300,USA,AKKEN029,10180,CARD
UGa-530,113,5480,300,USA,AKXMH072,10321,CARD
B-650,113,1790,300,USA,AKXMH005,10349,CARD
W-1180,59,7660,300,USA,AKSAM012,9628,CARD
Beta-2333,44,4200,300,USA,35UN52,7563,CARD
NSRL-298,22,7100,300,USA,11GE-?,3654,CARD
C-254,23,5382,300,USA,15OH2,2215,CARD
C-738,23,4369,300,USA,15BT5,2232,CARD
UM-463,31,3670,300,USA,25FT80,4489,CARD
C-116,23,5424,300,USA,15BT5,2232,CARD
AA-324,25,4160,300,USA,18KE17,3612,CARD
LJ-609,27,2530,300,USA,35CS11,6627,CARD
LJ-211,7,4020,300,USA,CA-SDI-59,716,CARD
W-2213,44,7980,300,USA,45FR50,7985,CARD
WSU-120,44,7550,300,USA,45FR50,7985,CARD
WSU-207,44,4250,300,USA,45FR50,7985,CARD
WSU-210,44,7870,300,USA,45FR50,7985,CARD
CAMS-3174,93,7400,300,check GIS,HbRf-39,9922,CARD
WSU-507,43,1495,300,USA,45CA24,8351,CARD
UCLA-2117E,23,1820,300,USA,15OH13,2422,CARD
DIC-109,24,4810,300,USA,33GA16,3306,CARD
DIC-887A,24,1680,300,USA,33WA82,3795,CARD
A-2622,35,2850,300,USA,33LA-?,5296,CARD
M-563,8,3530,300,USA,Z:,420,CARD
W-1122,115,3720,300,check GIS,JfVg-1,10206,CARD
W-1123,115,3470,300,check GIS,JfVg-1,10206,CARD
WSU-3497,44,5700,296,USA,10IH1639,7764,CARD
UGa-5083,159,5915,295,USA,AKXBP033,10705,CARD
S-2242,46,1425,295,check GIS,DhOc-8,8882,CARD
S-2847,73,3300,295,check GIS,EaLf-1,9155,CARD
I-2089,123,2040,295,check GIS,JjLl-1c,10248,CARD
S-693,71,3650,295,check GIS,EcNx-1a,9197,CARD
UGa-2386,36,5565,295,USA,36CL52,4881,CARD
S-2798,72,2665,290,check GIS,EeMw-26,9287,CARD
SFU-355,93,6700,290,check GIS,HbRf-39,9922,CARD
WSU-1070,29,6870,290,USA,10LH23,7470,CARD
RL-1403,45,3610,290,USA,24BW675,7937,CARD
A-2223,32,1380,290,USA,39BK7,7217,CARD
GX-10865,73,1490,290,check GIS,EaLf-1,9155,CARD
GX-4203,135,3000,290,USA,AKBET040,10467,CARD
Beta-12270,8,3920,290,USA,AA:3:28,479,CARD
LJ-202,7,6300,290,USA,CA-SDI-149,693,CARD
RL-1374,16,7180,290,USA,CA-SCR-177,2031,CARD
WSU-1185,43,3030,290,USA,45CH64,8314,CARD
S-3442,139,1310,290,check GIS,MlTk-2,10523,CARD
SMU-507,22,7260,290,USA,23BE125,2832,CARD
Tx-3618,19,4290,290,USA,5GN10,3226,CARD
Tx-2546,16,4300,290,USA,CAPla164,3709,CARD
I-11390,25,3160,290,USA,28SA-?,3970,Erick
OWU-265,35,2955,290,USA,33ER85,4897,CARD
GX-7509,37,7670,290,USA,19PL-?,5602,CARD
Beta-2176,44,6100,290,USA,35UN95,7528,CARD
A-4051,7,7140,290,USA,CA-SBR-4966,1273,CARD
AA-649,7,7150,290,USA,CA-SBR-4966,1273,CARD
AA-819,11,5130,290,USA,34CD50,1298,CARD
AA-405,17,7140,290,USA,CASBr4966,1421,CARD
S-1927,52,1790,290,check GIS,DdGt-5,8676,CARD
WAT-410,81,1840,290,check GIS,EjAv-1,9459,CARD
AA-849,7,6610,290,USA,CA-SDI-10940,662,CARD
Beta-22263,24,3960,290,USA,46MS150,3299,CARD
UCLA-2589D,35,3495,290,USA,33CS-?,4467,CARD
DIC-564,35,1880,285,check GIS,AbHs-___1,5639,CARD
DIC-845,72,1260,285,check GIS,FbMb-1,9550,CARD
UGa-3528,24,1620,285,USA,15LW316a,3108,CARD
WSU-931,29,2000,285,USA,10LH45,7473,CARD
M-753,11,1270,280,USA,41WM235,62,TARL/CARD
GX-1769,70,6960,280,check GIS,EbPd-?,9180,CARD
AA-753,11,1270,280,USA,41WM235,60,Erick
AA-756,7,6330,280,USA,CA-SDI-,653,CARD
