"Sbox","n","ag","amp50","mamp50","posamp50","mposamp50","negamp50","mnegamp50","invamp50","minvamp50","amp100","mamp100","posamp100","mposamp100","negamp100","mnegamp100","invamp100","minvamp100","amp200","mamp200","posamp200","mposamp200","negamp200","mnegamp200","invamp200","minvamp200","tempstab50","tempstab100","tempstab200","precstab50","precstab100","precstab200"
6,494,0,0.00164676879539355,0.00085053440018203,-0.00179201211233778,-0.000801252687625499,0.00151847053209281,0.00097328119768529,607.249786853665,1175.73139873705,0.00453475095685404,0.00285646751084495,-0.00505265651383417,-0.0035842093362794,0.00408589947413793,0.002770702355328,220.519276475051,350.082749481088,0.0116430982039253,0.0069868215260802,-0.0125881590815165,-0.0092920476843151,0.0107655416747334,0.00588209777495215,85.8877922770474,143.126598592397,1053.14548897774,765.823144089157,671.875338288379,47.1239978474301,39.6162801814216,37.3226873802146
7,1177,0,0.0010343409199596,0.00044998099641079,-0.00129414133195703,-0.000554802295422885,0.000880656169200558,0.000437344645442799,966.799225190722,2222.31607107047,0.0028731515037418,0.00162508026536915,-0.00290275360789284,-0.00130117382845764,0.00284927883910386,0.0018687071361012,348.049867435695,615.354220533127,0.00736903136955283,0.0036266332319146,-0.00553858224948841,-0.00360620881071455,0.00883339066560437,0.0052966576873268,135.703045604036,275.737836183692,961.974994610501,694.179685030168,617.543180028733,46.3137394685604,39.8592686845194,37.1235613688085
8,1668,1,0.0013136224793001,0.00051084576907442,-0.00150839136791307,-0.000499577711761399,0.00117492342225752,0.00051718976723263,761.253720728654,1957.53799001185,0.00342686905537327,0.00105937170338097,-0.00449347534245308,-0.00105139968110015,0.00283431000699559,0.00105937170338097,291.811558551389,943.955739811167,0.00943115779633296,0.00276091760578465,-0.0125381337650331,-0.00252334710473132,0.00812295738845923,0.00380783444781964,106.031520370577,362.19842196841,738.706172494535,551.526896054153,493.574815931983,44.706516425477,38.4476716679824,35.6695106671913
9,1004,1,0.00110822906997647,0.000481190825836145,-0.00114408162004467,-0.000237461494758229,0.00107977466516044,0.00059821151061677,902.340524257527,2078.17760918933,0.00304814908890661,0.00139292350668822,-0.00338942251732032,-0.00122424041516851,0.00282732510581538,0.0017344529072995,328.067942489882,717.914512317747,0.00861583192311655,0.00336200897022764,-0.00908707873276708,-0.0018655447476216,0.00838020851829129,0.0053198130808687,116.065402496649,297.441205200678,532.317643502668,410.408172969514,368.735100812378,42.3360163820218,36.134570872764,34.22011259214
10,1467,1,0.00174215293209038,0.00041664971222902,-0.00186908294729955,-0.000414023272215086,0.00163395029617436,0.00045377427207789,574.002420556797,2400.09766153476,0.00531573978136384,0.00144629024367857,-0.00523771180496915,-0.00121074811842047,0.00539376775775852,0.00144629024367857,188.120570443618,691.424148348362,0.0129195309790599,0.0035667536474659,-0.00949077527302862,-0.00250209971422963,0.0179068120060144,0.0070915799503123,77.4021906538875,280.366994426564,774.914796039552,593.473414427271,531.311019786006,33.9383480737325,27.421121743321,25.1348602424555
16,2671,0,0.00101426979236525,0.00037384526132413,-0.00114479597505394,-0.00025967866501935,0.000924654801265552,0.0004556863977365,985.930969774843,2674.90350541847,0.00266645642078067,0.00125088658898544,-0.00329225462795447,-0.00131081407134467,0.00231879075012855,0.00108128578552392,375.029568158937,799.432985216568,0.00666777680445045,0.0037507623580602,-0.00521385464746043,-0.0023636238056857,0.00766734828738109,0.00530468883385755,149.975026058542,266.612465556782,524.219397793299,448.704255748048,411.777469292783,41.8974568251922,32.6120379274161,29.8016669872436
17,1130,0,0.00109768100671292,0.00042408007145642,-0.000977744198189753,-0.00041077027742394,0.00119286894998527,0.00044361186004122,911.011481372505,2358.04525443909,0.00285700887426691,0.00167824054519338,-0.00248387109086654,-0.00167620869607964,0.00309845096940832,0.00167824054519338,350.016413672006,595.86213839493,0.00810775260344212,0.0042980475630446,-0.00570908524193508,-0.0034847176611952,0.00930708628419564,0.00537478218972475,123.338741191419,232.66378171293,495.791278650826,420.405438718936,386.152508891628,42.7386499982121,35.6651889950955,33.1080176073546
18,1661,1,0.000840475516490954,0.00030610645945688,-0.00121153955165604,-0.00036239783924833,0.000659825920423739,0.000288828708857201,1189.80265382991,3266.83730155282,0.00267663440256937,0.00133551604767042,-0.00366689532629148,-0.0013571229807196,0.0021681220363337,0.00131390911462124,373.603507090873,748.774229815006,0.0091308241417763,0.0031566527736765,-0.0150429923648128,-0.0023321105149856,0.00706156526371351,0.00445458990936795,109.519139178762,316.79125697291,509.604328608909,426.021115488314,390.570018935597,46.1692466414929,37.9368245045037,35.6351141428571
19,2106,1,0.000781501966026081,0.000291981406419801,-0.00100295480813332,-0.00022189912417575,0.000650501693230248,0.00030406374661859,1279.58731196158,3424.87561883387,0.00243443974379361,0.00103073466496735,-0.00320751621644296,-0.0011208050110943,0.00200495281454397,0.00103073466496735,410.772130445788,970.181787794705,0.00637599406593669,0.00330192834709021,-0.00762273060112408,-0.0022649664051471,0.005752625798343,0.00341733887281901,156.838289003817,302.853331412003,532.563180072804,442.264235123056,405.78712186353,53.5464462400747,41.7962394919864,38.7203961811542
20,297,1,0.00121639038732291,0.00032866936759975,-0.00155723419219222,-0.00021877549365189,0.00100701490718891,0.00035494691210714,822.104490813059,3042.57134549207,0.00389712930599212,0.00107878351646019,-0.00439919576520304,-0.000930729895422015,0.00352057946158392,0.00151236826344633,256.599132716081,926.970040552064,0.0119235283972441,0.00302731529469362,-0.0153920091118028,-0.00190239275354717,0.0104631154647983,0.0049508011667147,83.8677920397398,330.325685518398,543.769819916579,448.37794519373,409.859781779961,53.0672757806163,39.3157944332023,36.0543873446959
21,233,1,0.00134410004421749,0.0002325806889147,-0.0014494046370482,-0.000189862712921095,0.00126633665258867,0.00032955302235785,743.992238005008,4299.58310239056,0.00422480330783253,0.000835166362583745,-0.00423635713730693,-0.00066875701799465,0.00421548570341769,0.00109852394293109,236.697409828775,1197.36623120969,0.0121095740519042,0.0025912588526792,-0.00974986342170347,-0.0025912588526792,0.0137318751101672,0.002933087437455,82.5792877366114,385.912815682641,562.746818050228,466.751947760297,426.533358038305,47.1980770942262,38.3653460920615,35.660259643595
22,1235,1,0.000739607930682193,0.000153326643696904,-0.000950318193920576,-0.00014303445201108,0.00061962014189367,0.000177413699020665,1352.06770846498,6522.02367369887,0.00262451453016228,0.000731239010632995,-0.00376799311688461,-0.000700557162266095,0.00208286677855697,0.000781639160057415,381.02284765715,1367.5419192069,0.00831717228092415,0.00255181059267434,-0.0130888870298783,-0.00219605635267046,0.00695382520979441,0.004256884088844,120.233171350021,391.878614686674,578.380325112932,484.293056847374,443.327343768049,44.3126728790684,37.728140834297,34.4033144070805
23,530,1,0.00131563521575268,0.0003650720889861,-0.00133778836584898,-0.00026876489885243,0.00129535945125776,0.00045112793419382,760.089109828134,2739.18502720178,0.00462258255573957,0.00166121422750889,-0.0046564655331262,-0.00123680955622497,0.00459103633541408,0.00184175050197052,216.329289513362,601.96932065744,0.0124417743710358,0.0038459818354778,-0.00971444380400109,-0.00350211765201641,0.0149742956118538,0.00552610233748866,80.3743879432487,260.011628441757,2416.0879019323,1997.26993649332,1834.12687485751,40.4187336070139,33.6071063821421,30.870553255119
24,987,1,0.000914593908947524,0.0003101355359806,-0.00114242037454611,-0.00023116288404044,0.000784859393814994,0.00033703744152203,1093.38143433599,3224.39670397059,0.00303653439187826,0.00088914030730835,-0.00444031318944116,-0.0013576621089259,0.00242463081345341,0.000844552683527299,329.32279728979,1124.68188853934,0.00699708496098806,0.0028523432057819,-0.00757723185563342,-0.0036156291196268,0.0068313287053751,0.0024688287536599,142.916658233458,350.588946650224,605.997099446018,510.013922880308,467.333142630728,46.9084609319093,39.8623522443422,36.1458968945961
25,365,1,0.0012406838900045,0.00043425600905819,-0.00124755607928936,-0.00031970215536182,0.00123482563028625,0.00068698826185691,806.007080495236,2302.78909017008,0.00406175369564969,0.00207432409523243,-0.00430303921434978,-0.00157315801795321,0.00388078955662462,0.0026628299369707,246.199074323744,482.084743796002,0.0120771054374703,0.0048981583255482,-0.0115782483520046,-0.0047341312614881,0.0123705507818618,0.0048981583255482,82.8012974779048,204.15836596872,658.641309316248,552.922953881033,504.846088691098,50.1282151567634,41.0309811257623,37.561973709502
27,1396,0,0.000705290587006866,0.00025505556345341,-0.000766719034462414,-0.00020292349690713,0.000671631163743552,0.00030641555943996,1417.85530449773,3920.71431989236,0.00225948357645162,0.000731169600134721,-0.00237311751913214,-0.00063740635143026,0.00220113101129135,0.000763383438045002,442.579008062736,1367.6717410239,0.0050752250242343,0.0017951785162089,-0.00262719369537782,-0.0027694106487614,0.00577466254676472,0.001787622083745,197.035598466074,557.047664603197,771.530719857398,643.165951038447,574.847972709966,46.5809787118965,37.7645911666062,34.9450379053949
28,584,0,0.00138891545133485,0.00057882609283302,-0.00153883002937192,-0.00054406021693911,0.00127820930139978,0.0006407729683062,719.986230291359,1727.63462529061,0.00408576041591839,0.0023749641883036,-0.0045847555334714,-0.0024255747471994,0.00373797594004811,0.0023255500045141,244.752481350579,421.058980562686,0.00665823257451627,0.0063585212314113,-0.00737199402074853,-0.0063585212314113,0.00640841606833498,0.00572839210022925,150.190007454441,157.269271204123,779.687902544038,644.516101084585,580.0281095747,44.3865876810132,36.2607962265813,33.501488854042
29,914,0,0.000973604139784034,0.00052076603865087,-0.00105468636664703,-0.00052076603865087,0.000906907469299956,0.00050876627212137,1027.11149135194,1920.24810717432,0.00284263218984734,0.00157546365126183,-0.00266903827167917,-0.0010376232635178,0.00302908491676872,0.00211516609695342,351.786630564295,634.733780877187,0.00802220798401279,0.0035044899760083,-0.00728090602857932,-0.0031720146999673,0.00871055979977244,0.0035993294243886,124.653960853779,285.348226659511,769.889094928791,624.859791063079,561.367797895279,41.7339425488491,34.1135484897659,31.0147643206119
30,3105,1,0.0010475124236014,0.00050899619718002,-0.00121178401291361,-0.000486217558315499,0.000912385793683287,0.00053866999527958,954.642615656958,1964.65122046152,0.00329484009087476,0.00207446023670664,-0.00405510181529406,-0.00328892413184695,0.00272464379756029,0.00183806238916718,303.504865917334,482.053105817817,0.0107208221824242,0.0059219252302557,-0.0099013243527191,-0.0055152240641666,0.0117451944695555,0.00867783686475975,93.2764281492708,168.864003025722,807.194542391162,636.190332184818,569.257865178524,44.2843803156858,35.5356280122729,31.5415008394037
31,299,1,0.00120710089421993,0.0004072613036093,-0.00148211832214293,-0.000329119158635935,0.00103172746192121,0.000512206843280611,828.43116494105,2455.4260155277,0.00372560537360085,0.00182256588811231,-0.00395521054522685,-0.0015736077993918,0.00354043991261214,0.00186378884349683,268.412754363591,548.677008893068,0.0112581792450875,0.00723154645060929,-0.0119214166144968,-0.00458511068209515,0.0108680396160232,0.00839663156438419,88.8243097067716,138.283008597109,792.467480671229,626.808685865201,562.988531984906,41.1868602420233,34.3675886799643,31.1015390970815
32,453,1,0.00181699233767313,0.0001792235529355,-0.00250799123572523,-0.000127471379435165,0.00146688622932673,0.00022152197465245,550.360053405958,5579.62379174508,0.00540626473476187,0.000681238107028285,-0.00803410677088937,-0.00070660746432332,0.00426079512927039,0.00065586874973325,184.970594127601,1467.91553449972,0.0181828969691433,0.00193870245997329,-0.024452796990242,-0.00193870245997329,0.0159884319617587,0.00238760775564909,54.9967368619543,515.808908610854,768.712605194294,577.011088861344,515.718559453408,36.2508952460949,30.047449961218,27.7688825722276
33,552,1,0.00109547039290418,0.000414810693736273,-0.00124369786964648,-0.000327490494341047,0.00100441637147677,0.000433052683539325,912.849864749808,2410.73823577889,0.00327488382930305,0.0014751166735838,-0.00393962794821919,-0.00219332566770008,0.00293352874121098,0.0013547894015873,305.354342970027,677.912478319764,0.0106153724633935,0.00534003750923918,-0.0078180762767619,-0.00402860142301592,0.0125385135917027,0.00785276896520863,94.2030063898787,187.264602218585,731.602929780644,540.778756809185,486.669010251504,36.3177294916501,30.7007945985637,28.447313960072
34,420,1,0.00126790292830317,0.000182958743102684,-0.00129436621486321,-0.00011746809811856,0.00124534406107166,0.00030573664595185,788.703912324184,5465.7131058162,0.0042166592672171,0.000727097997069701,-0.0045585912020392,-0.00050408507153976,0.00396021031610052,0.00135566259818487,237.154566358874,1375.33042867692,0.0134137167682664,0.00302059477564549,-0.0121692237090448,-0.00101676960229677,0.0142693057464812,0.00454830310361691,74.5505527868128,331.060626888062,1983.73409979114,1716.42097127115,1628.13952751742,37.0838925050178,32.9598380140081,30.191233731681
35,856,1,0.00125089882876194,0.000223469546311581,-0.00167314741335696,-0.00012341143551757,0.00103695954590047,0.00027773409704821,799.425162936427,4474.88266972052,0.00413886733257918,0.00111821216691153,-0.00599491372850008,-0.0002545707448926,0.00332982146769058,0.0011365271003351,241.611996627309,894.284671183619,0.010521074290448,0.0039349178166083,-0.0143034525955254,-0.0045595989413577,0.00966144285747591,0.00275787631801141,95.0473280953725,254.134913765988,698.862869965677,521.640175424721,464.7019158851,39.6974034194207,32.3371562279598,29.8425175912304
36,935,1,0.00107700130879504,0.00023810112896786,-0.00099714814005163,-0.0001444573844102,0.00114507286247795,0.000513874227874181,928.50397843881,4199.89608757792,0.0039058062891999,0.00099923918834093,-0.00382149230071569,-0.0007624160089612,0.00396904178056305,0.00149660801276377,256.029082334457,1000.76139093417,0.00784064685867573,0.00220729804482978,-0.00294054966062559,-0.00173287401539245,0.0107230569751758,0.0023164805195879,127.540497362599,453.042579520391,777.504489739986,576.10933102135,514.843157706131,32.0487574015172,26.0520034202927,24.2952173480097
37,769,1,0.000760657869312792,0.000331919902909881,-0.000777304428990503,-0.000330522992433601,0.000749228888041527,0.00033392574674912,1314.65148832739,3012.77504371742,0.00241524769287202,0.00148762395034176,-0.00221433579537759,-0.00148762395034176,0.00256593161599283,0.0014891698151747,414.036209599223,672.21289343336,0.00565967292345189,0.003403723601618,-0.00229652795825225,-0.00108600199965375,0.00928152134751305,0.0056157697426941,176.688655603457,293.795888574689,742.970399171736,560.499251917455,502.613898208651,32.1154145733184,26.2552267109206,24.4890915268657
