labnumber,Sbox,date,sd,diff,Country,Site,SiteID,Source
WIS-500,32,1020,55,0.053921569,USA,13CK15,6312,CARD
Beta-38700,2,4570,70,0.015317287,USA,41BX831,7,TARL/CARD
WIS-2155,32,830,50,0.060240964,USA,25HL28,4768,CARD
WIS-581,32,720,60,0.083333333,USA,39HT1,6809,CARD
ISGS-3024,32,940,70,0.074468085,USA,13CK21,6309,CARD
Beta-124388,2,3200,50,0.015625,USA,41WB437,9,TARL
WIS-889,32,6080,70,0.011513158,USA,13CK405,6260,CARD
Beta-78656,2,7910,60,0.007585335,USA,41BX831,7,TARL/CARD
Beta-78657,2,7740,50,0.006459948,USA,41BX831,7,TARL/CARD
Beta-60262,10,1730,80,0.046242775,USA,41GR559,749,TARL
ISGS-3022,32,990,90,0.090909091,USA,13CK21,6309,CARD
WIS-891,32,7145,75,0.010496851,USA,13CK405,6260,CARD
ISGS-3065,32,990,70,0.070707071,USA,13CK21,6309,CARD
ISGS-2979,32,840,70,0.083333333,USA,13CK21,6309,CARD
ISGS-3023,32,960,70,0.072916667,USA,13CK21,6309,CARD
ISGS-3064,32,980,70,0.071428571,USA,13CK21,6309,CARD
M-129,2,4650,150,0.032258065,USA,418B94,1,TARL
Tx-4095,2,7770,810,0.104247104,USA,41GD30,2,TARL
Beta-47523,2,6985,65,0.009305655,USA,41BX831,7,TARL/CARD
Beta-47524,2,6900,70,0.010144928,USA,41BX831,7,TARL/CARD
Beta-47525,2,6930,65,0.009379509,USA,41BX831,7,TARL/CARD
Beta-47529,2,7645,70,0.009156311,USA,41BX831,7,TARL/CARD
Beta-47530,2,7000,70,0.01,USA,41BX831,7,TARL/CARD
C-698,2,1212,300,0.247524752,USA,41UV2,8,TARL
Tx-12,2,1765,145,0.082152975,USA,41UV2,8,TARL
Tx-13,2,6695,360,0.053771471,USA,41UV2,8,TARL
Tx-5,2,1045,55,0.052631579,USA,41UV2,8,TARL
Tx-58,2,545,120,0.220183486,USA,41UV2,8,TARL
Tx-59,2,5890,200,0.033955857,USA,41UV2,8,TARL
Tx-6,2,1120,60,0.053571429,USA,41UV2,8,TARL
Tx-63,2,7900,800,0.101265823,USA,41UV2,8,TARL
Tx-67,2,1150,140,0.12173913,USA,41UV2,8,TARL
Tx-68,2,6020,170,0.028239203,USA,41UV2,8,TARL
Beta-106326,2,2060,80,0.038834951,USA,41WB437,9,TARL
Beta-121729,2,2130,40,0.018779343,USA,41WB437,9,TARL
Tx-76,1,1300,160,0.123076923,USA,41VV82,10,TARL
Tx-78,1,4430,140,0.031602709,USA,41VV82,10,TARL
Tx-79,1,3950,120,0.030379747,USA,41VV82,10,TARL
Tx-81,1,1270,110,0.086614173,USA,41VV82,10,TARL
Tx-38,1,830,100,0.120481928,USA,41VV190,12,TARL
Tx-41,1,6530,620,0.094946401,USA,41VV190,12,TARL
Tx-42,1,5080,310,0.061023622,USA,41VV190,12,TARL
Tx-109,1,6640,120,0.018072289,USA,41VV167,14,TARL
Tx-117,1,5550,130,0.023423423,USA,41VV167,14,TARL
Tx-136,1,3410,80,0.023460411,USA,41VV167,14,TARL
Tx-137,1,4740,140,0.029535865,USA,41VV167,14,TARL
Tx-138,1,6110,110,0.018003273,USA,41VV167,14,TARL
